user_id,age,gender,language,login_time,character,c_type,mode,ranking
1,19,Other,Hungarian,90,Tracer,Healer,Ranked,1139
2,32,Male,Bosnian,741,Ashe,Damage,Mayhem,2028
3,27,Male,Danish,1350,Soldier,Healer,CTF,2178
4,20,Female,German,1256,D.Va,Healer,Mayhem,1850
5,21,Male,Macedonian,469,Wrecking,Damage,CTF,690
6,19,Male,Catalan,1420,Echo,Tank,3VS3,1973
7,27,Male,Danish,225,Ana,Tank,3VS3,867
8,28,Male,Arabic,1033,Genji,Damage,Solo,2334
9,18,Other,Latvian,354,Wrecking,Tank,3VS3,1360
10,23,Male,Mongolian,673,Moira,Damage,Solo,1765
11,18,Male,Latvian,380,Mei,Healer,Mayhem,1656
12,30,Male,Korean,23,Zenyatta,Healer,Mayhem,1980
13,27,Male,Serbian,552,Mei,Healer,Ranked,1748
14,31,Male,Ganda,1185,Soldier,Damage,Mayhem,1525
15,33,Male,Serbian,582,Tracer,Tank,3VS3,1710
16,28,Male,Russian,748,Winston,Damage,Ranked,2313
17,31,Male,Arabic,1310,McCree,Tank,CTF,1771
18,24,Female,Belarusian,754,Wrecking,Tank,CTF,1471
19,22,Male,Slovenian,763,Symmetra,Damage,Ranked,1331
20,22,Female,Yoruba,661,Zenyatta,Damage,Solo,1769
21,27,Male,English,920,Roadhog,Healer,CTF,1549
22,27,Male,Croatian,494,Lucio,Tank,3VS3,707
23,35,Male,Latvian,35,Mercy,Damage,CTF,1431
24,18,Male,Icelandic,1237,Brigitte,Damage,3VS3,1411
25,30,Male,Slovenian,169,Sigma,Tank,Ranked,1889
26,24,Female,Danish,833,Genji,Damage,3VS3,1759
27,24,Female,Macedonian,756,Reaper,Healer,Solo,1678
28,34,Female,Russian,1048,Sigma,Healer,Quick,1237
29,28,Male,Russian,101,Mei,Tank,CTF,1214
30,22,Other,Ganda,1007,Hanzo,Tank,3VS3,2290
31,30,Female,Latvian,660,Pharah,Healer,Mayhem,1197
32,37,Male,Icelandic,707,Lucio,Damage,3VS3,2530
33,31,Male,German,261,Mercy,Tank,Solo,1627
34,24,Female,Bosnian,454,Tracer,Tank,Quick,2231
35,29,Male,Chinese,1325,Zenyatta,Damage,Ranked,1705
36,31,Female,Belarusian,938,Mercy,Healer,3VS3,1980
37,21,Male,Arabic,718,Torbjorn,Healer,CTF,1813
38,23,Male,Irish,357,Pharah,Tank,Mayhem,1686
39,30,Male,Afrikaans,950,Pharah,Damage,Solo,1928
40,10,Male,Yoruba,396,Winston,Damage,Ranked,2283
41,29,Male,Thai,884,Mei,Damage,Quick,1585
42,26,Male,Icelandic,1223,Pharah,Tank,Solo,1839
43,32,Male,Spanish,629,Echo,Tank,Mayhem,1699
44,30,Male,Afrikaans,959,Ashe,Damage,CTF,2214
